rank,objective_value,sharpe_ratio,total_return,max_drawdown,calmar_ratio,num_trades,win_rate,profit_factor,is_valid,regime_mult_Bull Trending,regime_mult_Bear Trending,regime_mult_Mean Reverting,regime_mult_High Volatility,regime_mult_Low Volatility,regime_mult_Breakout,regime_mult_Unknown,stop_loss_pct,take_profit_pct,max_position_size,vol_threshold_high_pct,vol_threshold_low_pct
51,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
52,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
53,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
54,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
55,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
56,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
57,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
58,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
59,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
60,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
61,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
62,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
63,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
64,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
65,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
66,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.2,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
67,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
68,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
69,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
70,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
71,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
72,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.5,1.4,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
73,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
74,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
75,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
76,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
77,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
78,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
79,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
80,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
81,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
82,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
83,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
84,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.2,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
85,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
86,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
87,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
88,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
89,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
